,timestamp_start,timestamp_stop,start_y,start_x,stop_y,stop_x
0,2016-11-07 06:00:14,2016-11-07 06:13:44,5333130.31972836,689501.688275121,5334975.31544103,690339.161063836
1,2016-11-07 06:00:41,2016-11-07 06:13:38,5334962.48218758,694585.714873681,5335156.16367809,690359.200480597
2,2016-11-07 06:01:20,2016-11-07 06:14:44,5336198.34901424,688968.222659489,5335173.75866538,690343.767675003
3,2016-11-07 06:01:41,2016-11-07 06:22:44,5343826.32145245,689859.856124864,5335149.87295014,690360.621888302
4,2016-11-07 06:01:47,2016-11-07 06:10:29,5332155.2230385,688735.61571038,5334940.208833,690345.329182264
5,2016-11-07 06:03:17,2016-11-07 06:17:55,5334766.95771113,682700.966662651,5336487.40334434,688234.072448569
6,2016-11-07 06:04:05,2016-11-07 06:28:47,5337537.52565087,691228.994000739,5359312.35934649,706284.663507281
7,2016-11-07 06:04:20,2016-11-07 06:12:32,5337441.19989633,691597.04609882,5335148.10942829,690362.04410416
8,2016-11-07 06:04:32,2016-11-07 06:35:31,5335208.18654941,692750.312712397,5355349.35463118,695000.489300843
9,2016-11-07 06:04:50,2016-11-07 06:25:26,5334446.45966226,690988.604915394,5328538.44702313,685221.774531864
10,2016-11-07 06:04:53,2016-11-07 06:14:26,5337292.00370753,691468.016386341,5334980.32903022,690326.57068176
11,2016-11-07 06:05:02,2016-11-07 06:33:53,5338602.09559745,695872.205159092,5335159.74109614,690357.869383665
12,2016-11-07 06:05:44,2016-11-07 06:34:23,5334110.1787228,700685.561426772,5334989.70575272,690336.258041041
13,2016-11-07 06:05:56,2016-11-07 06:17:23,5337642.57077188,690931.537828164,5338857.0753094,693122.256461866
14,2016-11-07 06:06:11,2016-11-07 06:15:08,5337302.89745184,691468.863003195,5335161.79679978,690365.224539701
15,2016-11-07 06:06:26,2016-11-07 06:38:02,5334690.7282827,690140.149272907,5359335.04190789,706733.835889224
16,2016-11-07 06:06:32,2016-11-07 06:41:11,5332494.24193405,699766.107478092,5333906.49907819,690109.089732715
17,2016-11-07 06:06:35,2016-11-07 06:29:20,5339559.1608534,695659.677374899,5359337.00377198,706289.95484825
18,2016-11-07 06:06:38,2016-11-07 06:42:55,5326626.43418798,678314.486382238,5356879.74272217,699822.444623809
19,2016-11-07 06:07:11,2016-11-07 06:11:29,5351916.12368047,679242.339866024,5349050.73862692,680762.410190791
20,2016-11-07 06:07:52,2016-11-07 06:29:11,5337253.63587532,679691.45976817,5335167.18308613,690363.833227542
21,2016-11-07 06:07:59,2016-11-07 06:15:26,5336135.69947435,696299.275637286,5337751.23678069,695193.062741486
22,2016-11-07 06:08:02,2016-11-07 06:36:08,5332070.53486662,686149.33748611,5334963.80249613,690319.696838098
23,2016-11-07 06:08:29,2016-11-07 06:48:41,5337716.8279017,688010.053982802,5359746.59582376,706221.952940516
24,2016-11-07 06:08:41,2016-11-07 06:37:14,5333466.20179761,697243.909825489,5335198.34453372,690347.948883416
25,2016-11-07 06:08:50,2016-11-07 06:31:53,5337019.47716072,695745.308726651,5335170.55398209,690356.297455919
26,2016-11-07 06:09:05,2016-11-07 06:21:23,5331109.06408371,692450.116002112,5334967.58640834,690324.570633075
27,2016-11-07 06:09:32,2016-11-07 06:20:05,5332816.79127411,690557.550118263,5334909.94959038,690333.912587136
28,2016-11-07 06:09:52,2016-11-07 06:21:19,5334889.99830337,693917.863140818,5335149.83265122,690359.411217388
29,2016-11-07 06:09:59,2016-11-07 06:19:29,5336421.40338483,691832.237249032,5335153.16325611,690350.664749273
30,2016-11-07 06:10:56,2016-11-07 06:43:23,5336060.51726528,695796.782163918,5359510.37988021,706674.332312592
31,2016-11-07 06:11:02,2016-11-07 06:20:59,5335105.55201151,693518.44294795,5335189.09598425,690369.315341577
32,2016-11-07 06:11:17,2016-11-07 06:22:38,5337454.72425924,690131.388113591,5335217.58219492,689700.709499648
33,2016-11-07 06:12:20,2016-11-07 06:42:41,5337135.27945326,690842.925902766,5359503.45718474,706683.185730998
34,2016-11-07 06:12:41,2016-11-07 06:24:20,5330983.91639821,689375.360618004,5334977.29051237,690344.09503862
35,2016-11-07 06:12:59,2016-11-07 06:26:29,5335262.74185502,692515.156860205,5339541.40605137,689875.900432495
36,2016-11-07 06:13:11,2016-11-07 06:26:26,5336391.33090728,690988.185436841,5335159.82169396,690360.290728718
37,2016-11-07 06:14:08,2016-11-07 06:43:08,5335969.47003061,688562.711845313,5359336.79871249,706782.061494812
38,2016-11-07 06:14:08,2016-11-07 06:36:49,5332033.88529575,699963.497244719,5334964.58818898,690343.305743932
39,2016-11-07 06:14:43,2016-11-07 06:58:41,5331921.94925721,687947.349020434,5359516.11932838,706682.724605218
40,2016-11-07 06:15:08,2016-11-07 06:43:35,5334574.02906228,693142.918677518,5359332.82683279,706722.749600902
41,2016-11-07 06:15:53,2016-11-07 06:55:50,5331047.4717787,689380.687552172,5359532.8975535,706670.947010768
42,2016-11-07 06:15:59,2016-11-07 06:41:14,5328404.12375164,686801.656653614,5333784.98974272,693720.731840565
43,2016-11-07 06:17:29,2016-11-07 06:22:08,5337882.08542404,692484.053338375,5338873.64654489,693130.326608649
44,2016-11-07 06:17:38,2016-11-07 06:52:08,5341215.40921841,688998.312453474,5335215.74618955,682465.618778388
45,2016-11-07 06:17:44,2016-11-07 06:53:17,5337644.7245768,690371.906925046,5359757.80504742,706231.353609163
46,2016-11-07 06:18:05,2016-11-07 06:23:29,5336202.8040256,689949.613412324,5335164.88057264,690349.062723507
